total documents: 4,049
judgments with summaries: 1,989
judgments with no summaries: 2,060

year    no. judgments   no. summaries
1990    1               -
1991    1               -
1992    1               -
1999    63              -
2000    111             -
2001    115             -
2002    118             -
2003    123             -
2004    129             -
2005    133             -
2006    75              16
2007    172             144
2008    170             130
2009    172             125
2010    177             125
2011    171             129
2012    208             126
2013    107             59
2014    220             97
2015    210             142
2016    208             111
2017    190             101
2018    214             25
2019    191             -
2020    186             115
2021    180             167
2022    198             184
2023    187             175
2024    18              18
total   4,049           1,989
